epoch	loss
epoch	loss
epoch	loss
epoch	loss
0	0.406942
1	0.050194
2	0.025358
3	0.022955
epoch	loss
0	2.019284
1	0.654427
2	0.260930
3	0.202419
4	0.074343
5	0.045486
6	0.036472
7	0.032742
8	0.027197
9	0.026191
10	0.023278
11	0.023789
12	0.022724
13	0.023240
14	0.021472
15	0.020464
16	0.020035
17	0.019730
18	0.019368
19	0.019305
20	0.019088
21	0.018875
22	0.019335
23	0.018499
24	0.018302
25	0.018279
26	0.018104
27	0.017809
28	0.017805
29	0.017741
30	0.017756
31	0.017381
32	0.017223
33	0.017209
34	0.017035
35	0.017068
36	0.017221
37	0.016941
38	0.016750
39	0.016615
40	0.016515
41	0.016292
42	0.016279
43	0.016071
44	0.016230
45	0.015965
46	0.015830
47	0.015846
48	0.015591
49	0.015512
50	0.015544
51	0.015202
52	0.015296
53	0.015074
54	0.014965
55	0.014987
56	0.014901
57	0.014719
58	0.014493
59	0.014533
60	0.015725
61	0.014804
62	0.014555
63	0.014340
64	0.014214
65	0.014008
66	0.013853
67	0.013658
68	0.013623
69	0.013561
70	0.013276
71	0.013133
72	0.013194
73	0.012976
74	0.012962
75	0.012817
76	0.012586
77	0.012721
epoch	loss
0	2.153787
1	0.566354
2	0.607895
3	0.208422
4	0.076305
5	0.095704
6	0.056807
7	0.043853
8	0.043922
9	0.043832
10	0.035956
11	0.033198
12	0.032762
13	0.032881
14	0.027660
15	0.026681
16	0.026459
17	0.023461
18	0.031522
19	0.025913
20	0.024234
21	0.023068
22	0.022834
23	0.021612
24	0.020865
25	0.021132
26	0.021395
27	0.020927
28	0.021009
29	0.020454
30	0.020274
31	0.020772
32	0.020431
33	0.020749
34	0.019590
35	0.019170
36	0.018850
37	0.018358
38	0.018105
39	0.019939
40	0.018747
41	0.018859
42	0.017890
43	0.018016
44	0.017478
45	0.017379
46	0.017176
47	0.016924
48	0.017132
49	0.017134
50	0.017456
51	0.016921
52	0.016636
53	0.016660
54	0.016511
55	0.016361
56	0.016300
57	0.015955
58	0.015886
59	0.016002
60	0.015792
61	0.015747
62	0.016038
63	0.015623
64	0.015562
65	0.015341
66	0.015289
67	0.015124
68	0.015078
69	0.014844
70	0.014881
71	0.014803
72	0.014923
73	0.014862
74	0.015095
75	0.016331
76	0.015425
77	0.014927
epoch	loss
0	2.139773
1	0.780356
2	0.499291
3	0.179322
4	0.088591
5	0.079150
6	0.103877
7	0.063298
8	0.053061
9	0.043054
10	0.035921
11	0.033101
12	0.032715
13	0.030307
14	0.026492
15	0.025842
16	0.025498
17	0.024797
18	0.023260
19	0.025005
20	0.022719
21	0.021811
22	0.021418
23	0.020944
24	0.022707
25	0.021640
26	0.021778
27	0.020498
28	0.022129
29	0.020948
30	0.020753
31	0.020794
32	0.021099
33	0.020137
epoch	loss
0	2.067381
1	0.691768
2	0.316649
3	0.155136
4	0.094599
5	0.068779
6	0.041941
7	0.044851
8	0.048374
9	0.035008
10	0.030949
11	0.028009
12	0.025503
13	0.026283
14	0.023301
15	0.026781
16	0.023411
17	0.022696
18	0.025938
19	0.023553
20	0.020833
21	0.021186
22	0.022086
23	0.020103
24	0.019744
25	0.019729
26	0.019527
27	0.019015
28	0.019161
29	0.018825
30	0.018633
31	0.018585
32	0.018366
33	0.018192
34	0.018413
35	0.017993
36	0.017760
37	0.017561
38	0.017554
39	0.017451
40	0.017379
41	0.017227
42	0.017128
43	0.017110
44	0.017024
45	0.016633
46	0.016478
47	0.016333
48	0.016418
49	0.016228
50	0.016190
51	0.016172
52	0.016057
53	0.015845
54	0.015518
55	0.015557
56	0.015501
57	0.015291
58	0.015255
59	0.014968
60	0.014831
61	0.014743
62	0.014614
63	0.014510
